N,repetition,design,utility,max,utility_ratio
10,27,[-8.1638912 -8.0641726],0.0004954499084937,0.8448069894281423,0.0005864652100346
10,28,[-8.87043123 -5.68081437],0.0007247934663572,0.7116595541922124,0.0010184553303439
10,29,[-9.26367607 -8.33577052],0.0001311149753649,0.7414850424375767,0.0001768275391421
10,30,[9.75132526 6.51951478],0.0002217422195092,0.7190875608089619,0.0003083660900208
10,31,[ 8.19622098 10.        ],5.108176757117087e-05,0.7375807338106928,6.925583224938396e-05
10,32,[-6.92875123 -7.09047443],0.0013342398267333,0.7875814676866769,0.0016940975397152
10,33,[8.68147604 9.59045567],2.7190987699833118e-05,0.6885161907266967,3.949215438366714e-05
10,34,[9.59244686 8.79509746],0.000109854901839,0.6638955686992838,0.0001654701537686
10,35,[-9.01673417 -9.47966586],2.9805200950330008e-05,0.8028456342312795,3.7124447938075086e-05
10,36,[10.         9.3861103],9.988456446342604e-06,0.7527456095237026,1.3269365267587237e-05
10,37,[ 8.87740337 10.35495156],1.0974761008902435e-05,0.7554154346991627,1.4528113280175474e-05
10,38,[-10.30318249  -9.09003551],9.065052256095717e-06,0.8403681702263119,1.0787000956562276e-05
10,39,[ -7.69416453 -10.4873222 ],2.3496123268636496e-05,0.7779208906150666,3.0203743789499188e-05
10,40,[ 9.38001901 10.        ],2.5665320509072047e-05,0.7145665374847744,3.591732772627757e-05
10,41,[9.23344833 7.00373495],0.0001435426581467,0.6924952448792929,0.0002072832401495
10,42,[-10.32273943  -8.92590128],1.3631091978043134e-05,0.6679371009748055,2.040774791241503e-05
10,43,[8.59309758 8.96671644],0.0003403380826499,0.7350281940789675,0.000463027249011
10,44,[ -7.24911156 -10.86959914],1.9705679617645227e-05,0.6738933327672646,2.9241541145282064e-05
10,45,[10.          9.84765813],1.323798609421391e-05,0.7716585719287945,1.7155237530926383e-05
10,46,[-7.951627   -8.36207903],0.0003565688454308,0.7749456599306868,0.0004601210947652
10,47,[-9.29913778 -9.1020414 ],6.999242819139492e-05,0.7470887113840283,9.36869037436392e-05
10,48,[-8.93781555 -3.82492269],0.0010428450312969,0.810917638206641,0.0012860061024239
10,49,[6.52583364 9.8018655 ],7.970754404316043e-05,0.7551250005747043,0.0001055554298725
10,50,[8.50032777 8.10572277],9.233506599334287e-05,0.8951139875364336,0.0001031545337007
10,51,[-10.          -8.94139686],2.52791602092026e-05,0.7618332285703731,3.3182013150884084e-05
10,52,[ 9.96984931 10.        ],1.833121997552771e-05,0.7864903744863152,2.3307621517301443e-05
10,53,[7.98181332 9.55330096],3.127568660612569e-05,0.8323398826647971,3.757561935635511e-05
10,54,[ -8.37752094 -10.3512068 ],9.763035155064158e-05,0.7458667717514373,0.0001308951615063
10,55,[-9.34780821 -7.11580205],3.527964163945226e-05,0.6957211282132135,5.070945844358535e-05
10,56,[10. 10.],7.63959593426306e-06,0.6863797705367535,1.1130275486249905e-05
10,57,[ 8.35712387 10.26039392],1.814640607120324e-05,0.7948130211883344,2.2831037725165005e-05
10,58,[ -8.29721562 -10.        ],0.0001054865117571,0.5956736260574105,0.0001770877660897
10,59,[8.90085594 8.39518098],9.924380715849436e-05,0.7281486725941135,0.0001362960764659
10,60,[9.96858278 8.76616127],6.7712503361154575e-06,0.7796026703859437,8.685514549050145e-06
10,61,[-8.80405038 -8.92096817],9.09052579654754e-05,0.759702828309583,0.0001196589700314
10,62,[-8.89440223 -8.53171988],6.276570439849746e-05,0.7362829959458581,8.524671185413723e-05
10,63,[10.          9.98815947],6.224051910438669e-06,0.6158459751094698,1.0106507409311738e-05
10,64,[9.57680762 9.60163051],4.714027747757492e-05,0.672335243213256,7.011424427534083e-05
10,65,[9.99541855 9.43659005],6.502306955688589e-06,0.787976068474748,8.251909183326887e-06
10,66,[-8.05141556 -8.94350015],0.0001317478146244,0.7645345531366171,0.0001723242122725
10,67,[-8.74873701 -8.26568149],0.0001277342239377,0.6920015947897473,0.0001845866034117
10,68,[-10.2708138   -6.16580745],6.321183282495387e-05,0.7304207682962118,8.654166963571223e-05
10,69,[ -9.8059215 -10.       ],1.5252358503802544e-05,0.8286486394011023,1.8406303683580574e-05
10,70,[8.15669484 9.21442652],2.2850798413668072e-05,0.8407409110152428,2.717935824732785e-05
10,71,[7.69463985 8.59070281],0.0002267078998311,0.6840093570127843,0.0003314397639547
10,72,[ 8.4427256  10.48119051],6.413152445024335e-06,0.7166757351600659,8.94847157563105e-06
10,73,[-7.77257331 -7.75189473],0.0002411651813646,0.7027212249276448,0.0003431875583229
10,74,[-8.99449818 -7.6979284 ],0.000245141081497,0.796434581758181,0.0003077981382423
10,75,[-9.73145162 -8.9475396 ],4.3947272232039616e-05,0.7377574866114759,5.956872418047518e-05
10,76,[8.71373344 9.75051528],0.0001413833961144,0.7163280437727093,0.0001973724152552
10,77,[-9.33158371 -7.48312561],2.8106633901048587e-05,0.77675220255509,3.618481390666564e-05
10,78,[ -9.21202295 -10.        ],8.027347501327036e-06,0.7954800431912654,1.0091199106797627e-05
10,79,[-9.74774358 -8.44055453],1.3318075131273583e-05,0.7706604275746765,1.7281379262182335e-05
10,80,[8.83479018 9.13709379],2.3361525280632835e-05,0.6616595367117705,3.530747156873444e-05
10,81,[8.7595228  6.68699551],0.0001920887975786,0.7612211707151875,0.0002523429523093
10,82,[-7.46871004 -8.30669363],0.0005413947668193,0.8070621898122787,0.0006708216214976
10,83,[7.77544796 8.3920387 ],0.0005363329119349,0.7796615338456652,0.0006879048005478
10,84,[-7.92374135 -9.59833211],3.0634412166158264e-05,0.7711083341173699,3.972776691776154e-05
10,85,[-9.01123344 -6.02607471],0.0002793220787154,0.7884361715234971,0.0003542735465518
10,86,[9.0553959  8.06715464],5.084221614682506e-05,0.8121143585815302,6.260474970006441e-05
10,87,[ 8.80961381 10.00222901],6.985781543626078e-06,0.7507995679701536,9.304455998173646e-06
10,88,[10.1212075  8.5715412],9.778722243851246e-06,0.8060260616411478,1.213201744859318e-05
10,89,[10.          6.62604283],5.512731996250764e-05,0.7091029207100984,7.774233944390319e-05
10,90,[-8.23675603 -8.50264178],0.0001746269233805,0.680426133774121,0.0002566434690153
10,91,[-8.85066563 -9.42172429],0.0001225168841146,0.6228082688773309,0.00019671685531
10,92,[ -8.89983596 -10.        ],4.0391052257119855e-05,0.6517854568656138,6.196985807470655e-05
10,93,[-8.99190454 -8.90838699],5.390209691211155e-05,0.7730275366170207,6.972855992685826e-05
10,94,[-6.18039479 -8.04356161],0.0008108269548142,0.6246368246845103,0.0012980774151824
10,95,[10.          9.68952375],3.275704797627943e-05,0.7848765437183542,4.1735287209747466e-05
10,96,[8.69693399 9.19765117],5.504835921520102e-05,0.710629981671544,7.746416649311117e-05
10,97,[-8.67721116 -5.02119744],0.0019407751653219,0.849881000708265,0.00228358460032
10,98,[8.34491847 9.31242231],7.593208729238033e-05,0.7747611007414781,9.80070982135141e-05
10,99,[-8.00027472 -6.39081753],0.0002721612759727,0.7906065554647148,0.0003442436368527
20,0,[-8.54288301 -8.87365392],0.0373270182804846,0.6450426327793087,0.0578675212825126
20,1,[8.9604563  9.35624814],0.032920018337613,0.6943814914624984,0.0474091241520237
20,2,[7.08170207 8.0173968 ],0.0340053098131585,0.7217289435431439,0.0471164557239704
20,3,[6.96851722 8.68812735],0.0378494335779519,0.7381092066389547,0.0512789072911076
20,4,[8.34206413 8.33116766],0.0357020287223506,0.5721650725212986,0.0623981267591646
20,5,[-9.51691108 -9.03022091],0.0313640603205271,0.6814850136808379,0.0460231108401394
20,6,[-9.2382671  -8.12261285],0.0326072954731209,0.6933104784810592,0.0470313034133836
20,7,[-9.7256367  -8.05315641],0.0326555028330846,0.6501524784009565,0.0502274526637205
20,8,[ -8.77178092 -10.59191419],0.0329132077820197,0.6807912199062708,0.0483455232964831
20,9,[10.13061713  9.10038037],0.0299239298468853,0.6694518490956589,0.0446991518319183
20,10,[6.79891783 7.88400938],0.0389076492508153,0.7053351754730737,0.0551619295389878
20,11,[-10.          -8.29502137],0.0343330356410426,0.7675359147290458,0.044731503740985
20,12,[9.02959547 9.53053947],0.0316637042508146,0.7012319440637332,0.0451543950883344
20,13,[7.3139044  8.01344488],0.0361268115836914,0.6015549734383844,0.0600557109139948
20,14,[-10.10091453  -8.09368324],0.0336540069858758,0.6773985036919552,0.0496812538003182
20,15,[8.9939938 8.7498895],0.0354562868350706,0.607838529792602,0.0583317527554045
20,16,[8.70771537 8.47102234],0.0363367998554903,0.7380968551276997,0.0492303951751747
20,17,[10.29629779  7.69485004],0.0324635083919184,0.6705493343122046,0.0484133034375717
20,18,[-6.79794974 -8.5301805 ],0.0351972311496368,0.6741468697679716,0.0522100342344555
20,19,[ -8.06590719 -10.03298658],0.0329266962822124,0.6640243018938554,0.0495865831842338
20,20,[8.40874954 8.31344107],0.034331609153083,0.7018361307478248,0.0489168449001077
20,21,[8.74338813 7.64867255],0.035722084490313,0.6792297059080917,0.0525920527026341
20,22,[10.88970034  6.80734065],0.0317617801119568,0.674478141856672,0.0470908961178853
20,23,[8.20681243 9.41505144],0.0335951377726849,0.7581079340509765,0.0443144521561305
20,24,[-8.6667428  -8.40004366],0.0353732828016751,0.6589741061357727,0.0536793213455749
20,25,[8.28617337 9.75643169],0.0373344841905167,0.7773513748432259,0.0480278100724351
20,26,[8.28840964 6.26267604],0.0385620568982483,0.6533492491269041,0.0590221186444774
20,27,[-10.65183725  -7.87074438],0.0297771863456584,0.6588936425659454,0.045192705502054
20,28,[-8.35244183 -9.05867809],0.0299802341244283,0.5222304293568427,0.0574080567487245
20,29,[7.87605701 6.63579826],0.0356552830572456,0.7011580013087103,0.0508519948295464
20,30,[-7.64842016 -8.19152848],0.038894732434162,0.6666834685622773,0.0583406283015232
20,31,[-8.68571906 -7.34784874],0.0370884435282928,0.7666995114600057,0.0483741582900794
20,32,[9.39727484 7.61452029],0.0341368493493671,0.7291574653671644,0.0468168413144857
20,33,[-9.47624387 -6.86534986],0.0405237730329089,0.7277978855806845,0.055679981813325
20,34,[8.23223846 7.26426865],0.0301475583201525,0.6553074164592358,0.046005214595382
20,35,[-6.54737593 -7.37749386],0.038691171852347,0.6205905257777095,0.0623457340149693
20,36,[-8.90858082 -7.88607234],0.0329645136915034,0.6656709279709033,0.049520735105536
20,37,[8.24438787 9.08600467],0.0341469912838489,0.6817089203310496,0.0500902808595589
20,38,[-10.          -8.65137429],0.0321544325418338,0.6575589365935609,0.0488996966696364
20,39,[-8.25518626 -9.36335074],0.0346257564319253,0.5847656362247137,0.0592130492747
20,40,[7.31880977 5.47046617],0.0434737051390183,0.7341456497490552,0.0592167305682168
20,41,[-8.24462306 -6.37586245],0.037012948966912,0.6971654996168246,0.0530906205015237
20,42,[10.9997639   6.02574706],0.0309475612827826,0.7097439775860321,0.0436038378064733
20,43,[10.          9.00507674],0.0283038061783513,0.6927599354227885,0.0408565864321781
20,44,[ -8.40466548 -10.48787632],0.0347062221978235,0.6141186625046837,0.056513869903048
20,45,[-7.85440093 -6.9157023 ],0.0373331071292902,0.7111580565760163,0.0524962162547049
20,46,[6.58457875 8.60960219],0.0385437647275503,0.7307944462842029,0.0527422792052265
20,47,[-8.81684262 -9.00314861],0.0377110830631201,0.6329901208205876,0.0595761005151751
20,48,[-9.19446056 -9.27793571],0.0338866439472533,0.7050255594472942,0.048064419074138
20,49,[7.40746773 5.509786  ],0.0420643078515986,0.7486667258792103,0.0561856249216895
20,50,[-9.11292034 -9.89016465],0.0326766869288701,0.6561036617885537,0.0498041526544642
20,51,[8.82119721 7.16720426],0.0381158995294774,0.8041303287697336,0.0474001516492882
20,52,[-6.23894006 -9.14610817],0.0344065057862042,0.7479809277287557,0.0459991752606308
20,53,[-7.34128512 -8.69049135],0.0380868837821835,0.6509778054039133,0.0585071925125799
20,54,[-4.10902526 -9.53590403],0.0356727781280132,0.6726893328526984,0.0530300933667765
20,55,[9.76966869 8.3528886 ],0.0290288170606877,0.6704616268714482,0.0432967613614874
20,56,[8.92414537 8.99347797],0.0309432934818439,0.7338399093427969,0.0421662723543555
20,57,[ 8.69904581 10.75607723],0.0291466819189463,0.6941795455145121,0.0419872381825128
20,58,[ 7.72825231 10.16341428],0.0295956744761945,0.6722024799341114,0.0440279162300851
20,59,[10. 10.],0.0310883624255125,0.7037339683603759,0.0441762993165514
20,60,[-10.          -8.61334115],0.030999221360015,0.6163303052767887,0.0502964418504353
20,61,[-5.7808213  -7.37864868],0.0443345610187397,0.6685611799843378,0.0663133941156714
20,62,[8.51959247 4.55636921],0.039485047021464,0.6328412019646554,0.0623932937660865
20,63,[-6.89294156 -7.9729393 ],0.0392674777187536,0.6865796873397144,0.057192891725217
20,64,[7.38931415 7.71030613],0.0347712451257324,0.6512571530653702,0.0533909607933969
20,65,[ -8.95097751 -10.        ],0.0305689357373379,0.7731126193968937,0.0395400811865997
20,66,[-10. -10.],0.030157398813113,0.7119374823893301,0.0423596166223781
20,67,[-8.92918741 -8.3899251 ],0.0343727084999142,0.6484090344759015,0.0530108414169415
20,68,[7.39802622 8.43309621],0.035519481626906,0.6393457131626477,0.0555559862147225
20,69,[-8.23196109 -9.49238611],0.0324029273276571,0.6522014128841278,0.0496823936402817
20,70,[9.29170245 5.70034735],0.0371096891661545,0.6752704559591084,0.0549552980419474
20,71,[-10.3405903  -8.9079021],0.0313290797335674,0.7408929641065719,0.0422855678908309
20,72,[7.43586928 9.92949978],0.0349068079947081,0.7165038657446281,0.0487182409803626
20,73,[-7.19479832 -6.56140614],0.0384276061473921,0.6703292260350203,0.0573264668388254
20,74,[8.3319861  7.23443572],0.0378387433254203,0.7478967240354208,0.050593540671303
20,75,[-8.07642991 -9.0719297 ],0.0384587885041885,0.7141397491111364,0.0538533088965525
20,76,[-7.93548625 -6.57915556],0.0412390439562243,0.6033096038819529,0.0683546949872414
20,77,[8.55689582 9.2038002 ],0.034423519580503,0.7470713460314403,0.0460779546202195
20,78,[-9.23681619 -8.91206518],0.0320694389800885,0.6836630777911904,0.0469082506015974
20,79,[8.72767667 6.51858868],0.0351686438665899,0.6337115379093275,0.0554962972310943
20,80,[6.65231999 9.57579103],0.0356275565259797,0.6366741139191332,0.0559588583029856
20,81,[ 8.04003253 10.97207254],0.0303846894355489,0.6880296631717956,0.0441618887410703
20,82,[-8.010964  -7.5882144],0.0310919811527361,0.6899019762211163,0.0450672446584948
20,83,[-10.          -8.46261949],0.0341770588811665,0.7133141234739208,0.0479130550713343
20,84,[9.21531806 9.67028258],0.0315223645894365,0.6658620423018707,0.0473406840859472
20,85,[-10. -10.],0.0327871666800615,0.6224595882635114,0.0526735667636329
20,86,[8.58741298 9.78437277],0.0320461143034152,0.7234340250908823,0.0442972174268267
20,87,[ 8.0432174  10.25664839],0.0309809578355036,0.7728900941863529,0.0400845580355359
20,88,[-7.88928617 -7.47255268],0.035430528895341,0.7217533300431566,0.04908952604794
20,89,[-9.67271787 -8.86045841],0.0358603279959238,0.6927051030408776,0.0517685344578841
20,90,[9.20767878 8.47962985],0.0325752803145585,0.6487598583833335,0.0502116151201678
20,91,[8.13007557 7.83269874],0.0386878613099151,0.6890574822594587,0.0561460579211119
20,92,[10.84825434  6.97784476],0.0298790284100984,0.6299845629912706,0.0474281913642898
20,93,[-9.63421597 -8.94801693],0.0337392553466436,0.6510449753344612,0.0518232328408813
20,94,[9.1134499  8.51092429],0.0331513152127724,0.7292579862721849,0.0454589676586677
20,95,[-10.          -9.74181512],0.0325744866556745,0.6610390705501364,0.0492777024942944
20,96,[-8.52961472 -7.66733898],0.0382894496402166,0.6943879324890498,0.0551412947269507
20,97,[8.48956314 7.38633122],0.0329018896369329,0.6939613206219987,0.0474117053201796
20,98,[-9.43219488 -7.71598575],0.0325435014132014,0.588246639004761,0.0553228854282294
20,99,[-10.5816841   -8.37928829],0.0275790867216362,0.7704362805632862,0.0357967133913688
40,0,[-7.90821817 -6.05455588],0.0560908003136019,0.6725636807227133,0.0833984973041195
40,1,[7.82501804 8.64350799],0.0430880500371727,0.6458845927946157,0.0667116858303418
40,2,[-8.58537162 -9.23387315],0.03397735583342,0.6599657382738144,0.0514835147689487
40,3,[-8.33566299 -6.60656426],0.0461351461915641,0.7099718137484912,0.0649816588463997
40,4,[-5.70072963 -7.65031221],0.0686226518589324,0.6347174064585955,0.1081152827394673
40,5,[-9.13358048 -5.66554181],0.0511749855199307,0.6716151892602179,0.0761968852674399
40,6,[-8.06092818 -9.10454342],0.0395194473676725,0.6766050693749511,0.0584084411371329
40,7,[-8.88383577 -8.74089936],0.0405215208967789,0.6995760474532078,0.0579229678378736
40,8,[-8.91879431 -9.44749712],0.0317217523134989,0.7041672571909798,0.0450486045602878
40,9,[5.96857158 7.99798243],0.0552613188523189,0.6372620316348457,0.0867167916948549
40,10,[9.99768403 5.91147735],0.0395020305897675,0.706345364576073,0.0559245272508803
40,11,[ -7.77507161 -10.08330472],0.036268045709064,0.676039372237135,0.0536478305827759
40,12,[6.92829725 6.23134531],0.0670527784076485,0.6707728639857967,0.0999634630554588
40,13,[ 9.41545    10.01588233],0.0290099314382667,0.7171600256362,0.0404511272257983
40,14,[8.31014306 9.59201363],0.0344853005421012,0.7410293594821653,0.0465370232647728
40,15,[7.93909961 9.46442784],0.0377085844343921,0.7300407408863678,0.0516527124069936
40,16,[7.10986953 8.44647145],0.0452552224968488,0.65394173558544,0.0692037532309115
40,17,[ -7.24796068 -10.        ],0.0386159940558182,0.6132396052277895,0.062970482869374
40,18,[8.30673373 8.33553565],0.03994508501391,0.6542917456346273,0.061050877197244
40,19,[8.28050686 8.76295397],0.0384079428547319,0.7112302724955037,0.0540021204665114
40,20,[-8.58351599 -9.36920344],0.0358033249651101,0.6874586674083318,0.0520806946839233
40,21,[-8.15690716 -7.7345494 ],0.0495775938603298,0.7118755764328754,0.0696436224273311
40,22,[5.97047763 6.10967846],0.0740706765429057,0.7006831842596954,0.1057120795915273
40,23,[-6.95948075 -8.85098346],0.0471135812233831,0.7171107373929932,0.0656991713646086
40,24,[8.28255819 8.88884543],0.0358162437352441,0.6517805078515932,0.0549513882415754
40,25,[8.61722181 7.66197355],0.0397341768165674,0.6337385211749471,0.0626980615647294
40,26,[ 8.63468324 10.        ],0.034764606555754,0.6484775547892279,0.0536095756884807
40,27,[-9.37774261 -8.13187763],0.0399541775046332,0.6911980123882133,0.0578042424725504
40,28,[-8.45131166 -6.62182416],0.0442929132490128,0.7103022884129213,0.062357835489985
40,29,[-9.96626439 -5.73390521],0.0426207845298529,0.6520139110141654,0.0653679067422949
40,30,[-9.64545858 -6.93793022],0.0398686770061051,0.5986429565001405,0.0665984232725134
40,31,[8.33359295 7.1291849 ],0.0466953250164239,0.7030935786673392,0.0664140968332143
40,32,[-5.6733666 -7.4445239],0.0617672499188199,0.7112283650514802,0.0868458753249374
40,33,[-6.21287572 -8.02809253],0.0588142067394747,0.6715450572838464,0.0875804327670234
40,34,[5.33807124 8.84209793],0.0574901912480734,0.7074867389708079,0.0812597439376818
40,35,[-9.93788218 -5.74999812],0.0479368418031233,0.6730924734736554,0.0712188052790632
40,36,[-7.20752845 -7.86887588],0.0532223029929862,0.6870757156060856,0.0774620639095614
40,37,[-9.09124809 -6.55008838],0.0481560347607995,0.6933981268134218,0.0694493291784696
40,38,[-9.65924684 -8.72586035],0.0344743985342269,0.6738688775167117,0.0511589118958413
40,39,[7.46526133 8.50466856],0.0401370893938685,0.687359105088991,0.058393187922741
40,40,[-7.85704007 -5.39312221],0.061717774975033,0.6728549950814899,0.091725223749819
40,41,[-7.6459713  -8.55202427],0.0408152015967432,0.7166632961837965,0.0569517119323433
40,42,[9.7184386  8.11918489],0.0388882353742385,0.6889622497731167,0.0564446533711315
40,43,[-8.38114019 -8.27938027],0.0426203334492521,0.6812860255010974,0.0625586491634027
40,44,[5.44296469 9.50397813],0.0459222052340425,0.6157937624425631,0.0745740019383937
40,45,[6.76955526 7.33844868],0.0560656361528011,0.6884145290576991,0.08144168053737
40,46,[-7.67836943 -7.97209273],0.0495274229794159,0.659042583987085,0.0751505656581161
40,47,[7.42297641 8.2572006 ],0.0496737457944061,0.6687681365648845,0.074276483998706
40,48,[7.16319581 7.19025239],0.0554543222995772,0.6745896233417658,0.0822045290659363
40,49,[-9.96543308 -7.43909817],0.0400168860014391,0.6787052876712324,0.0589606221262026
40,50,[-5.26144191 -4.42787269],0.1132023314268602,0.6912710230653849,0.1637596943162375
40,51,[7.66174506 7.53004402],0.0517989565688368,0.7250847118132727,0.0714384894963504
40,52,[-6.93351144 -8.39673043],0.0470840434339488,0.7076592295012116,0.0665349104075638
40,53,[8.06215831 4.43425139],0.0624777813467133,0.706810688473994,0.0883939396581608
40,54,[-6.96954306 -8.6187445 ],0.0478667882196634,0.647428048844682,0.0739337572801803
40,55,[-5.88644752 -7.99397856],0.0531820750364206,0.6705476037851957,0.0793114086698863
40,56,[8.03849375 8.10307727],0.0468700943290968,0.7168646838195312,0.0653820663606526
40,57,[-7.01570461 -6.65439191],0.0576016927642255,0.7151148648223975,0.0805488678780732
40,58,[6.06410198 9.50125172],0.0455632700897395,0.6833722489012999,0.0666741591614153
40,59,[6.98427979 8.49519639],0.050141028037041,0.6689549895849287,0.074954262719757
40,60,[-7.27503093 -6.16027245],0.0635467728829635,0.6833587917493622,0.0929918128663965
40,61,[-7.79809182 -8.54482181],0.044818987501004,0.6350413031556563,0.0705764920774268
40,62,[ -9.08374826 -10.        ],0.0304105359889456,0.6662011334659376,0.0456476797491077
40,63,[-6.49013889 -8.99921468],0.0478364360970589,0.6759331411582356,0.0707709582268587
40,64,[-9.25288938 -6.28412652],0.0449281118556231,0.6361673325508633,0.0706231042632655
40,65,[-6.72643009 -6.21634906],0.0626144353465138,0.6822971799192805,0.0917700339226397
40,66,[6.99913735 7.82666258],0.061439996337328,0.6360786507675921,0.0965918228244021
40,67,[7.55890298 9.91024772],0.0351648865027533,0.6325644665395502,0.0555909924803762
40,68,[-8.6565456  -8.33979563],0.0373133953163947,0.728385633206469,0.0512275278579222
40,69,[8.37098428 9.12408542],0.0362170705372329,0.668175069347265,0.0542029659571303
40,70,[7.00301    7.59892392],0.0582262478914679,0.6803957548563467,0.0855770299504019
40,71,[7.99652402 7.47652651],0.0447711784882351,0.6982703866070539,0.064117252209107
40,72,[7.77211815 9.33184953],0.0410268517300675,0.7162662391348282,0.0572787735739486
40,73,[-8.58111791 -6.50607777],0.0512369803812052,0.6621287605886759,0.0773822003074632
40,74,[9.37309195 7.26223105],0.0382005813345485,0.6977926883581151,0.054744886227503
40,75,[10.77513444  5.15664723],0.04310642712495,0.624510949340604,0.0690242936020007
40,76,[9.87576523 7.01742004],0.0392963148933198,0.692779510529624,0.0567226863613187
40,77,[-8.47546332 -8.42845344],0.0424419031602579,0.6999141436171107,0.0606387276886861
40,78,[ -6.36737428 -10.04236512],0.0375752992175511,0.6704614719841168,0.0560439350919799
40,79,[-6.71085367 -5.6913042 ],0.0785465468346453,0.6303651859254652,0.1246048300071138
40,80,[-8.53288841 -7.0679256 ],0.0437351439541208,0.6175460127252874,0.0708208668713018
40,81,[8.3834837  5.40280346],0.0537733572863135,0.6724781041636698,0.0799629860859024
40,82,[-8.51561037 -8.17891186],0.0376922569107646,0.678683469489379,0.055537313939771
40,83,[8.44467833 7.32547504],0.0418297190544389,0.7193063435221854,0.058152857167384
40,84,[-7.70143788 -6.75516108],0.0556468244412634,0.6434303626187785,0.0864846107273821
40,85,[-8.38975841 -7.59730933],0.043483572330568,0.6860134243503259,0.0633858912771979
40,86,[8.95741519 7.83945662],0.0371932063597227,0.6684585593410282,0.0556402574849039
40,87,[7.29288771 6.4727305 ],0.059942149291686,0.7122732109581774,0.0841561192664392
40,88,[-7.35167057 -8.19884462],0.0399965234789826,0.6752604044061219,0.0592312583678866
40,89,[8.10344791 5.910075  ],0.0622355898011578,0.6644879479519309,0.0936594711656982
40,90,[9.17002858 6.72308369],0.0470779882981148,0.6975035565470848,0.067494979568519
40,91,[ -7.6455022 -10.2236783],0.0370154169279888,0.685218013980557,0.0540199121633704
40,92,[-6.65726116 -6.17353843],0.0657573996361753,0.6606097475355417,0.0995404622494424
40,93,[-5.80838808 -8.26984803],0.0595501857584135,0.7024683839769911,0.0847727628982717
40,94,[2.90944563 5.57207422],0.1330612390396145,0.6892271302645714,0.1930586205864194
40,95,[8.21992396 9.50114588],0.0350545625990198,0.6491094712446766,0.0540040842907471
40,96,[-8.02141724 -7.20985488],0.0509682838474043,0.6721379666353979,0.0758300920011146
40,97,[-9.29138625 -7.24819194],0.0409578814958065,0.6697938303833914,0.0611499832304549
40,98,[7.78609468 8.41654805],0.0490333705263295,0.6999154600258279,0.0700561329571433
40,99,[-7.24763243 -7.13378185],0.0577820627933678,0.6729716014850432,0.0858610715011754
70,0,[-7.58910013 -7.1788504 ],0.1008965419539509,0.6635838942331785,0.1520479065733573
70,1,[-9.30816448 -7.35877977],0.0839361586993569,0.6322091374229525,0.1327664434612608
70,2,[5.53407072 9.65305928],0.0881770878942523,0.6566396100811174,0.1342853622299139
70,3,[7.38033188 6.9578135 ],0.1010621566038196,0.6676703898852406,0.1513653415440368
70,4,[-10.31046413  -5.05582899],0.0872142884114504,0.6980537753775916,0.1249392116879167
